Rk,Team,2023 W,2023 L,2023 Win %,2024 W,2024 L,2024 Win %,Win % Diff
17,Atlanta Hawks,41,41,0.5,24,31,0.436363636,-0.063636364
2,Boston Celtics,57,25,0.695121951,43,12,0.781818182,0.086696231
9,Brooklyn Nets,45,37,0.548780488,21,33,0.388888889,-0.159891599
27,Charlotte Hornets,27,55,0.329268293,13,41,0.240740741,-0.088527552
19,Chicago Bulls,40,42,0.487804878,26,29,0.472727273,-0.015077605
5,Cleveland Cavaliers,51,31,0.62195122,36,17,0.679245283,0.057294064
21,Dallas Mavericks,38,44,0.463414634,32,23,0.581818182,0.118403548
4,Denver Nuggets,53,29,0.646341463,36,19,0.654545455,0.008203991
30,Detroit Pistons,17,65,0.207317073,8,46,0.148148148,-0.059168925
11,Golden State Warriors,44,38,0.536585366,27,26,0.509433962,-0.027151404
28,Houston Rockets,22,60,0.268292683,24,30,0.444444444,0.176151762
23,Indiana Pacers,35,47,0.426829268,31,25,0.553571429,0.12674216
12,Los Angeles Clippers,44,38,0.536585366,36,17,0.679245283,0.142659917
14,Los Angeles Lakers,43,39,0.524390244,30,26,0.535714286,0.011324042
6,Memphis Grizzlies,51,31,0.62195122,20,36,0.357142857,-0.264808362
13,Miami Heat,44,38,0.536585366,30,25,0.545454545,0.00886918
1,Milwaukee Bucks,58,24,0.707317073,35,21,0.625,-0.082317073
15,Minnesota Timberwolves,42,40,0.512195122,39,16,0.709090909,0.196895787
16,New Orleans Pelicans,42,40,0.512195122,33,22,0.6,0.087804878
8,New York Knicks,47,35,0.573170732,33,22,0.6,0.026829268
20,Oklahoma City Thunder,40,42,0.487804878,37,17,0.685185185,0.197380307
25,Orlando Magic,34,48,0.414634146,30,25,0.545454545,0.130820399
3,Philadelphia 76ers,54,28,0.658536585,32,22,0.592592593,-0.065943993
10,Phoenix Suns,45,37,0.548780488,33,22,0.6,0.051219512
26,Portland Trail Blazers,33,49,0.402439024,15,39,0.277777778,-0.124661247
7,Sacramento Kings,48,34,0.585365854,31,23,0.574074074,-0.01129178
29,San Antonio Spurs,22,60,0.268292683,11,44,0.2,-0.068292683
18,Toronto Raptors,41,41,0.5,19,36,0.345454545,-0.154545455
22,Utah Jazz,37,45,0.451219512,26,30,0.464285714,0.013066202
24,Washington Wizards,35,47,0.426829268,9,45,0.166666667,-0.260162602
,,,,,,,,
